id,trans
filename,scene_evt210316_cp0_q7_s10
translator,折木
info,scene_evt210316_cp0_q7_s10
291,即便这样，\n为了能随时回到现在生活的地方。
290,与回不去的往昔告别，\n仍然刺痛着胸口。
285,姬塔一行人为了不在雪中走丢，\n慢慢地跟在后面。
284,尤斯缇斯这么说着，再次在雪中走了起来。
283,但我现在，已经没有地方可回了。
282,虽然这里是我的故乡这件事，\n永远都不会变。
281,赶在下雪前，\n回格兰塞法吧。
280,尤斯缇斯看着同伴们的脸\n轻轻得笑了。
279,我能忍受住释放全部的力量。
278,因为你们相信着...
277,你们也好，泽塔和贝阿朵丽丝她们也好...
276,诶，我们吗...？\n为什么...
275,...那场战斗中\n我能发挥出弗拉明克最大限度的力量，\n也是多亏了你们。
274,啊，尤斯缇斯的弗拉明克也觉醒了，\n都能战胜迪亚斯波拉了呐！
273,尤斯缇斯手中的弗拉明克\n发出了轻微的声音。
272,但是，已经足够了...\n现在的我有弗拉明克。
271,慢慢说着的尤斯缇斯，最后看了一眼\n曾是弟弟的姿态的幽世者的残骸，\n便回头了。
270,让我期待。
269,那肯定比什么都，\n比我收到猎枪都更加...
268,我还想着要用猎物的皮\n来给新生儿做一件衣服...
267,我也和父亲约好了一起去打猎。
266,待到冰雪消融，冬去春来，\n弟弟或是妹妹本该出生的。
265,这里被破坏的那个冬天...
264,......
263,尤斯缇斯不介意的话，\n我想多听你说一些。
262,啊哈哈！\n像是角铠甲（碧对巴萨拉卡的称呼）会说的话呀！
261,说太多了吗？
258,最厉害的果然是爸爸。\n他是很安静且神秘的人。\n甚至能说出三天后的天气呢。
255,啊但是...姐姐她说，她并不能分辨。
252,住在这土地上的话...
251,诶，好厉害啊。
250,看云就知道了。\n是我记得的。
249,你能知道会不会下雪吗？
248,好像要下雪了。
247,在沉重的寂静中，\n尤斯缇斯望向天空。
246,是的呢...\n也和罗南和伊尔莎联络一下...
245,之后再调查一下比较好吧。
244,这座岛现在没有人。\n「敌人」们在这做一些实验或准备也不奇怪。
243,为啥那么幽世的家伙\n连这种地方都...
242,随着尤斯缇斯的道歉，\n姬塔摇了摇头。
241,对不起。
240,姬塔...
239,收起了武器的姬塔\n慢慢回头望向尤斯缇斯
238,果然是幽世的家伙吗。。
225,啊啊啊！？
222,走到尤斯缇斯面前的姬塔\n说着「我不会让你这么做的」\n向少年挥剑。
221,姬塔...！？
216,姬塔微微点了点头
215,姬塔也是...\n谢谢你一直留意着我。
214,不要哭露莉亚。\n我没事。
213,外形明明就是\n尤斯缇斯的弟弟...
212,呜呜...明明知道不是真的...\n但是...!
211,......
210,果然是幽世的家伙吗。。
198,啊啊啊！？
197,尤斯缇斯的手指，扣动了扳机。
195,......
193-sel2_txt,挡在尤斯缇斯的前面
193-sel1_txt,注视着尤斯缇斯
193,尤斯缇斯...!
192,把你杀掉。
191,不照做吗。\n这样的话，我就...
190,为什么？\n你在说什么？
189,<span class='scene-font-4'>够了！</span>\n不要再用那副身体和声音说话了。\n...现出真身吧。
188,是妹妹哟。\n是可爱的可爱的妹妹——
187,但是妈妈肚子里的是弟弟\n还是妹妹，谁都不知道才对。
186,萨维尼他，想要的是弟弟。
185,尤哥？
184,尤斯缇斯举起枪，\n阻止了少年的言语。
183,够了。不要再说了。
182,所以错的是——
181,大家都被撕碎杀死了。
174,明明马上就能\n再生下一个妹妹的\n爸爸妈妈也...
170,那个机器放出的光\n把大家都杀死了。
169,呐，尤哥。\n是我的错吗？
168,但是，尤哥又一次\n自己去了不知道哪里，\n我就先去找了。
167,因为发现了少见的东西，\n想向大家炫耀一下。\n也想给尤哥看看呢。
166,......
165,神秘的机器，难道是...
164,把村外发现的神秘机器\n运回广场的是我哟。
163,你知道吗，尤哥。那天...
162,你是谁？
161,尤哥，你去了哪里呀？\n我一直再找你呢。
160,对尤斯缇斯奇怪的脸色视而不见，\n少年亲切地说着。
159,还活着的话，\n他已经是成年了的大人了。
158,只有外表是我弟弟。\n不可能的。
157,<span class='scene-font-4'>诶诶！？</span>\n家人还活着吗！？
156,是我弟弟萨维尼。
155,尤哥...\n是在说尤斯缇斯吗？\n那么这孩子是...
