id,trans
filename,scene_evt210316_cp0_q5_s10
info,scene_evt210316_cp0_q5_s10
74,end of transmission
68,…………
62,虽然有点害怕，不过我上去搭话了。\n然后，那女孩子就指着月亮说，\n「那里，是我的家。」
61,有一天晚上，我离家出走之后，\n遇到了一位全身赤红的女孩子。\n无论是发色还是眼眸都是赤红色呢。
55,听好了，那是，我比你的外貌\n还要年幼好多的时候的事了。
54,呀咧呀咧，真是个薄情的人啊。
53,嗯——，不记得了。\n给我说说。
52,20年前的话早就遇到你了。\n你还记得的吧。
51,不过话说回来，阿兰的20年。
50,被看穿了就没办法了。
49,你骗人。
48,我对时间的感觉，还是空之世界的基准。\n400可是很长的哦。\n我都能过20辈子了。
47,400年会过得很快哦。
46,啊啊，结束了。\n这下就暂时，\n没什么事情要做的了。
45,通信结束了？
39,总之月球的动向目前会是静止。\n要是乐意的话我会再联络的。\n再会了。
35,顺便一说雅琪玛上任ω3的事\n会稍微早一点。\n是400年后。
34,迪亚斯珀拉的重新生产预计\n在2万年后，ω3的复原申请至少\n预定是600年后。
30,哦抱歉，\n忘记说重点了。\n关于机关下次进攻的时间——
29,以上就是近况报告。
25,顺便一提，我还是老样子\n粘在她头上。\n嘛，这感觉不错。
24,其名为雅琪玛。和机关的无人机战斗后\n机关判断她能成为重要的战斗力。
23,不过复原也需要一定程度的时间。\n期间需要补充可用战斗力，\n有新的战士推举成了ω的候补。
22,接下来是ω3的三人。这三人很棘手。\n他们不仅记忆进行了备份，\n肉身也开始进行复原了。
21,打算重新生产分解槽本体，\n在确保到足够的量后，\n会立马发起进攻。
17,机关虽然失去了机神迪亚斯珀拉，\n但并未放弃空之世界的净化计划。
13,也并非是有什么事。\n只是说一下月球的情况。
12,姬塔，泽塔，巴萨拉卡……\n或者是艾扎克，卡西乌斯。
11,我发出的这些信息，\n还请传达给接下来说到的这些人。
10,这段消息到底会传到谁那里\n我也不清楚。不过希望\n接收到这段消息的你是个亲切的人。
9,啊—，MAYDAY—，MAYDAY—\n各位月之后裔，听得到吗。\n这里是雷贝利。正在机关发出通信中。
0-synopsis,监听到从月球机关发来的通信。通信对象为于化石世界生活之人。不特定个体。发信人为新ω3的候补，特工·雅琪玛头上连接着的雷贝利。机关正在重新生产这次失去的战斗力，准备完成后再次开始入侵空之世界。并且重新生产的过程推定为2万年后。
0-chapter_name,Incoming Dispatch
