id,trans
filename,scene_evt210316_cp0_q2_s20
translator,ゼタラガ推し
info,scene_evt210316_cp0_q2_s20
193,解放吧……
191,确认到姬塔她们离开，\n尤斯提斯便将弗拉梅克\n朝着天空高高架起。
189,但果然还是要稍微离远点……\n快点，姬塔！！
188,知道啦！\n交给我吧！
187,我相信你们。
186,应该会被余波所波及……\n忍住。
185,还有……\n已经等不到你们充分离开了。
184,交给你了，露莉亚。
183,卡西乌斯先生和艾扎克先生\n就交给我救援吧！\n我能做到的！
182,糟了……！\n不快离开的话！！
181,尤斯提斯立起弗拉梅克的铳身，\n便有噼里啪啦的电击飞散而出。
180,了解。
179,已经没时间犹豫了。\n干吧，尤斯提斯。
172,哇……！
169,姬塔君！
168,……天空。
167,我知道了！
162,我对你的骑空艇，格兰赛法……\n没错。我是迷恋着它的。
161,天空的旅途，并非是这样束手束脚的事物。
159-sel1_txt,嗯
159,除此之外……\n姬塔，在听着吗。
158,是吗。
157,这是出自亲切心的建议。
156,这是警告吗？
155,所以，就算会误伤\n也不要抑制弗拉梅克的出力。\n迪亚斯珀拉没脆弱到那种程度。
154,兄弟！？\n你，是这种能说出\n没脑子的话的类型吗！？
153,从飞船里出去\n也总会有办法吧。\n这里已经是空之世界了。
152,说实话飞船也已经到极限了。\n所以……
151,……飞船呢？
150,这边是卡西乌斯。\n以弗拉梅克的余波，大概\n无人机会被一扫而尽。
149,卡西乌斯！？\n这个声音，是卡西乌斯吗！？
148,艾扎克让开。\n我来说。
147,虽然没有时间详细进行说明了，现在我们——
146,啊啊……太好了！\n总算连上了！
145,这里是尤斯提斯。\n听得到吗，艾扎克。
143,啊……！
142,贝阿！\n把传声机的声音打开！
141,<span class='scene-font-4'>艾扎克！？</span>\n什么啊？   他在哪儿呢！？
140,艾扎克……？
139,啊—啊——……能听到吗！？\n求你了……连上吧！
138,尤斯提斯盯着迪亚斯珀拉和其后方的飞船，短暂的犹豫了一瞬。
136,迪亚斯珀拉可以交给你，\n但是卡西乌斯他们的飞船怎么办啊！？\n能不进入弗拉梅克的攻击范围内吗？
134,交给我吧。
133,听到泽塔话语的尤斯提斯，\n看着在场所有人的脸，\n重重地点了点头。
132,能行吗？
131,你们快离开。
130,算了。\n总而言之，之后交给我解决。
129,哈啊……
128,是，是因为我们想集中在眼前的战斗啦！
127,啊，啊哈哈……
126,……你们，切断了传声机的声音了吗？
125,真的吗！？
124,虽然有人受伤，但包括巴萨拉卡在内\n据点内全员无事。
123,……巴萨拉卡呢？
122,……亚马，在应对迪安的战斗中\n能量耗尽了。
121,<span class='scene-font-4'>不是这个问题！</span>\n怎么办啊？\n现在能上吗！？
120,有连着传声机。\n所有的状况我都有所把握。
119,你知道我们这边的情况有多糟糕吗！？
118,<span class='scene-font-4'>尤斯提斯！</span>\n<span class='scene-font-4'>\n<span class='scene-font-4'>你也太慢了！！</span>\n你干嘛去了啊！？
117,久等了……！
114,真是，一个接一个……！\n我们，和这家伙战斗就\n已经用尽全力了！
113,机神！？     是叫做无人机的那些家伙吗！？\n这不是一大片又一大片吗！
111,十有八九吧。\n但这样的话，不是很糟吗？
110,这不是卡西乌斯他们吗！？
109,那是，飞船……？
108,随着碧所指的方向看去，\n在发出不详的光芒的迪亚斯珀拉的背后，\n更高的天空上。
107,喂，看那边！\n好像又有别的东西落下来了！
106,不做些什么、不做些什么的话……！！
104,什么净化啊！\n别给我开玩笑了！
103,该不会是，停止了排除我们\n开始向着那个……净化作战\n实行的意思……
102,虽然不太清楚……但是，\n总有种讨厌的感觉。
101,迪亚斯珀拉，唰的一下发光\n然后它的身姿融入其中，\n像是要覆盖整个蓝色天空一样开始扩散。
100,那，那家伙，要干嘛啊！？
97,啊，别跑啊！
96,突然，迪亚斯珀拉\n停止了攻击\n浮上了天空。
90,喝啊！！
89,吃我一招！
83,啊，变回去了。
82,……草莓酱。
81,是谁呢……\n天空，格兰赛法……\n拉卡姆君？
80,诶，天空吗？
79,……天空。
78,尤斯提斯君。
77,……蛋包饭。
76,巴萨拉卡君。
75,……酒。
74,泽塔君。
73,……浴衣。
72,……贝阿朵丽丝君。
70,……草莓酱。
69,抱歉这么匆忙，其实啊……
67,<span class='scene-font-4'>卡西乌斯君！</span>\n……的克隆君！
60,难道是……！
59,草莓……酒……草莓酱……酒……，草莓……酒……
58,战场上泽塔与贝阿朵丽丝的对话，\n通过传声机\n传到了玛琪拉的耳中。
51,是呢……\n还想做的事情，\n不做不行的事情，像山那么多呢！
50,那些家伙推荐的\n蛋包饭，\n也要再吃一次啊！
